,Year,Type,Country,Sex ,Age,Fatal (Y/N),Month,Day,date_clean,Age_clean,Species_clean_2,Time_clean,Activity_clean_1,Activity_clean_2
53,2017,Unprovoked,usa,F,54,N,12,31,2017-12-31,54.0,tiger shark,P.M.,surfing,surfing
54,2017,Unprovoked,usa,F,35,N,12,30,2017-12-30,35.0,other/NA,P.M.,surfing,surfing
55,2017,Provoked,malaysia,M,24,N,12,21,2017-12-21,24.0,other/NA,P.M.,fishing,fishing
56,2017,Unprovoked,bahamas,F,25,N,12,09,2017-12-09,25.0,other/NA,,snorkeling,snorkeling
57,2017,Unprovoked,costa rica,M,26,N,11,30,2017-11-30,26.0,tiger shark,,scuba diving,scuba diving
58,2017,Unprovoked,costa rica,F,49,Y,11,30,2017-11-30,49.0,tiger shark,P.M.,scuba diving,scuba diving
59,2017,Sea Disaster,libya,,,Y,11,25,2017-11-25,,other/NA,,,Other
60,2017,Unprovoked,usa,M,25,N,11,24,2017-11-24,25.0,white shark,P.M.,spearfishing,spearfishing
61,2017,Unprovoked,usa,F,14,N,11,18,2017-11-18,14.0,other/NA,A.M.,surfing,surfing
62,2017,Unprovoked,,M,24,N,11,13,2017-11-13,24.0,other/NA,,surfing,surfing
63,2017,Unprovoked,australia,M,25,N,11,13,2017-11-13,25.0,other/NA,A.M.,surfing,surfing
64,2017,Unprovoked,cuba,M,22,Y,11,04,2017-11-04,22.0,tiger shark,A.M.,night bathing,Other
65,2017,Unprovoked,australia,M,7,N,10,31,2017-10-31,,other/NA,P.M.,snorkeling,snorkeling
66,2017,Unprovoked,australia,M,31,N,10,28,2017-10-28,31.0,other/NA,A.M.,surfing,surfing
67,2017,Unprovoked,usa,M,,N,10,26,2017-10-26,,other/NA,A.M.,up paddleboarding,Other
68,2017,Unprovoked,mauritius,M,,N,10,23,2017-10-23,,other/NA,P.M.,swimming,swimming
69,2017,Unprovoked,usa,M,17,N,10,23,2017-10-23,17.0,other/NA,,surfing,surfing
70,2017,Unprovoked,usa,F,60,N,10,23,2017-10-23,60.0,other/NA,P.M.,swimming,swimming
71,2017,Unprovoked,australia,F,15,N,10,22,2017-10-22,15.0,white shark,,kayaking,Other
72,2017,Unprovoked,new zealand,M,,N,10,21,2017-10-21,,other/NA,P.M.,kayaking,Other
73,2017,Unprovoked,usa,M,,N,10,18,2017-10-18,,other/NA,,swimming,swimming
74,2017,Unprovoked,usa,M,54,N,10,09,2017-10-09,54.0,tiger shark,,surfing,surfing
75,2017,Unprovoked,usa,F,40,N,10,05,2017-10-05,40.0,other/NA,,snorkeling,snorkeling
76,2017,Invalid,south africa,M,31,UNKNOWN,10,01,2017-10-01,31.0,other/NA,A.M.,scuba diving,scuba diving
77,2017,Unprovoked,usa,M,,N,09,25,2017-09-25,,other/NA,A.M.,surfing,surfing
78,2017,Unprovoked,australia,M,,N,09,25,2017-09-25,,white shark,,surfing,surfing
79,2017,Invalid,usa,M,33,UNKNOWN,09,24,2017-09-24,33.0,other/NA,,surfing,surfing
80,2017,Unprovoked,usa,M,,N,09,24,2017-09-24,,other/NA,A.M.,surfing,surfing
81,2017,Unprovoked,usa,M,,N,09,20,2017-09-20,,other/NA,P.M.,surfing,surfing
